papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
PTNT4;6.24;6.69;0.83;0.342;0.051100000000000007;0.355;1.57;4.59;13.36;6.95;4.89;0.0745;0.0675;0.1003;0.1247;1.77;65341.8;359626000.0;0.76;0.1516
QUAL3;4.93;6.27;0.97;0.693;0.0518;0.299;2.12;1.95;-0.77;4.09;2.62;0.3564;0.1159;0.1996;0.1543;1.88;31169800.0;1447140000.0;1.61;0.0124
RADL3;24.3;40.3;7.52;1.381;0.0105;2.336;12.51;22.89;-18.2;23.97;13.02;0.0603;0.0349;0.1404;0.1865;1.5;132336000.0;5340860000.0;0.43;0.1814
RAIL3;19.0;68.41;2.32;3.58;0.001;0.767;8.67;13.31;-1.69;16.85;9.67;0.26899999999999996;0.052199999999999996;0.07;0.0339;1.71;181810000.0;15191200000.0;1.1;0.0889
RAIZ4;2.94;315.82;1.44;0.125;0.050300000000000004;0.29;3.88;9.21;-0.9;21.07;5.61;0.013500000000000002;0.0006;0.0406;0.0045000000000000005;1.19;105189000.0;21196400000.0;2.08;0.15460000000000002
RANI3;8.5;5.54;1.86;1.242;0.0701;0.596;2.26;3.61;-2.37;4.89;4.15;0.344;0.2242;0.25329999999999997;0.3362;2.61;8607800.0;1125090000.0;1.59;0.193
RAPT3;7.39;5.16;0.89;0.218;0.1164;0.189;0.62;1.78;-1.98;3.46;2.92;0.1225;0.059800000000000006;0.16440000000000002;0.17190000000000003;2.01;109968.0;2744760000.0;1.97;0.2839
RAPT4;8.27;5.77;0.99;0.244;0.10400000000000001;0.211;0.69;1.99;-2.21;3.67;3.1;0.1225;0.059800000000000006;0.16440000000000002;0.17190000000000003;2.01;23905000.0;2744760000.0;1.97;0.2839
RDNI3;6.0;12.3;0.41;0.394;0.0095;0.119;0.96;7.1;-0.33;22.77;20.35;0.0555;0.0475;0.0177;0.0334;1.58;117026.0;639988000.0;1.02;0.34759999999999996
RDOR3;24.9;41.56;4.18;2.548;0.0143;1.016;3.75;13.9;-3.28;17.75;13.22;0.1833;0.0625;0.0987;0.10060000000000001;2.76;145043000.0;13628500000.0;2.15;0.2975
RECV3;28.78;10.33;2.3;3.396;0.026099999999999998;1.292;7.72;7.88;-19.31;6.73;5.22;0.431;0.32880000000000004;0.24530000000000002;0.2225;1.82;81258600.0;3671860000.0;0.18;0.0
REDE3;5.23;7.2;2.63;0.696;0.0998;0.434;5.13;2.99;-0.92;5.32;4.5;0.23309999999999997;0.13140000000000002;0.16579999999999998;0.36479999999999996;1.41;7422.73;4202200000.0;2.55;0.1291
RENT3;56.0;30.07;2.72;3.808;0.0209;0.862;66.2;13.75;-1.91;19.5;14.48;0.27690000000000003;0.1266;0.0814;0.0906;1.06;370423000.0;20329700000.0;1.44;0.15839999999999999
RNEW11;5.91;2.63;3.06;2.848;0.0;0.245;-4.38;-7.45;-0.31;-21.01;-29.62;-0.3822;1.084;-0.0353;1.1642000000000001;0.69;28858.0;160679000.0;6.06;-0.3285
RNEW3;1.98;2.64;3.07;2.863;0.0;0.246;-4.4;-7.49;-0.31;-21.05;-29.67;-0.3822;1.084;-0.0353;1.1642000000000001;0.69;51344.2;160679000.0;6.06;-0.3285
RNEW4;1.99;2.65;3.09;2.877;0.0;0.247;-4.42;-7.53;-0.31;-21.09;-29.72;-0.3822;1.084;-0.0353;1.1642000000000001;0.69;79816.1;160679000.0;6.06;-0.3285
ROMI3;17.85;6.7;1.32;0.904;0.0493;0.641;1.82;5.9;6.01;7.82;6.48;0.1534;0.13570000000000002;0.13140000000000002;0.1967;2.32;14594200.0;1093130000.0;0.66;0.23550000000000001
RPAD3;6.94;8.85;0.55;0.0;0.0001;0.545;10.16;-130.28;10.18;-115.61;-115.61;0.0;0.0;-0.0045000000000000005;0.0622;5.92;1021.51;1066750000.0;0.0;-0.45280000000000004
RPAD5;6.95;8.86;0.55;0.0;0.08259999999999999;0.546;10.17;-130.47;10.19;-115.79;-115.79;0.0;0.0;-0.0045000000000000005;0.0622;5.92;671.39;1066750000.0;0.0;-0.45280000000000004
RPAD6;6.7;8.55;0.53;0.0;0.0001;0.526;9.8;-125.78;9.82;-111.1;-111.1;0.0;0.0;-0.0045000000000000005;0.0622;5.92;878.22;1066750000.0;0.0;-0.45280000000000004
RRRP3;33.36;45.3;1.58;3.933;0.0;0.85;9.97;12.37;-3.29;12.77;8.46;0.3181;0.0741;0.0795;0.0349;1.76;219532000.0;4282440000.0;0.25;1.9039
RSUL4;66.85;6.42;3.2;1.033;0.0292;1.194;4.77;3.94;-13.52;3.77;3.55;0.2619;0.16079999999999997;0.36310000000000003;0.4979;1.87;123109.0;124136000.0;0.09;0.30210000000000004
SANB11;27.48;8.34;1.26;0.0;0.0665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1508;0.0;66626600.0;81965600000.0;0.0;0.0178
SANB3;12.87;7.81;1.18;0.0;0.0676;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1508;0.0;2721600.0;81965600000.0;0.0;0.0178
SANB4;14.74;8.94;1.35;0.0;0.065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1508;0.0;3173060.0;81965600000.0;0.0;0.0178
SAPR11;17.09;4.49;0.59;0.91;0.0883;0.31;6.15;2.43;-0.96;4.25;3.53;0.3751;0.203;0.1404;0.1311;1.52;16483100.0;8786890000.0;0.58;0.07429999999999999
SAPR3;3.25;4.27;0.56;0.866;0.086;0.295;5.85;2.31;-0.91;4.13;3.43;0.3751;0.203;0.1404;0.1311;1.52;919929.0;8786890000.0;0.58;0.07429999999999999
SAPR4;3.45;4.53;0.59;0.919;0.0891;0.313;6.21;2.45;-0.97;4.27;3.55;0.3751;0.203;0.1404;0.1311;1.52;7265800.0;8786890000.0;0.58;0.07429999999999999
SBFG3;9.27;11.01;0.94;0.361;0.0127;0.267;1.43;5.59;-1.47;10.72;5.59;0.0645;0.0327;0.0622;0.0851;1.54;26100900.0;2408600000.0;1.03;0.41240000000000004
SBSP3;53.16;11.93;1.33;1.715;0.0177;0.649;15.79;8.18;-1.69;11.63;7.56;0.2097;0.1438;0.085;0.1114;1.48;169454000.0;27355300000.0;0.69;0.0751
SCAR3;14.5;-10.43;0.57;2.174;0.009899999999999999;0.238;2.3;5.61;-0.58;17.33;12.28;0.3872;-0.21530000000000002;0.0449;-0.054299999999999994;2.56;385146.0;1477070000.0;1.32;-0.0171
SEER3;3.9;-5.38;0.37;0.309;0.0;0.144;2.12;2.4;-0.37;4.71;2.37;0.1286;-0.0574;0.0658;-0.0684;1.44;3074640.0;1363920000.0;0.55;0.06269999999999999
SEQL3;3.84;-7.81;1.0;0.292;0.0;0.275;-106.82;18.27;-0.68;39.93;6.55;0.016;-0.0374;0.0175;-0.12869999999999998;0.99;18288800.0;537366000.0;1.32;0.3084
SGPS3;1.14;-0.13;0.09;0.039;0.0;0.019;0.82;-0.47;-0.05;-7.01;-38.66;-0.08470000000000001;-0.314;-0.050499999999999996;-0.75;1.07;208734.0;605751000.0;1.75;0.0003
SHOW3;2.4;-10.32;1.14;0.534;0.0;0.267;2.18;3.66;-2.69;1.11;0.98;0.1459;-0.0438;0.2163;-0.1107;1.23;501968.0;141721000.0;0.83;-0.40020000000000006
SHUL4;4.68;6.19;1.5;0.799;0.06;0.706;1.7;5.43;5.46;6.03;5.07;0.14730000000000001;0.129;0.19649999999999998;0.2422;2.71;2094880.0;1114870000.0;0.75;0.22899999999999998
SIMH3;8.22;14.3;2.39;0.283;0.0794;0.112;0.9;1.3;-0.2;6.4;4.72;0.21780000000000002;0.038599999999999995;0.1242;0.1673;1.55;29372200.0;2881780000.0;13.82;0.36920000000000003
SLCE3;47.81;8.01;2.21;1.059;0.057999999999999996;0.683;4.16;4.12;-3.46;5.02;4.68;0.25730000000000003;0.1394;0.20440000000000003;0.2756;1.53;67773500.0;4598800000.0;0.75;0.3741
SMFT3;15.81;-33.61;2.23;3.532;0.0;0.835;5.34;132.7;-2.52;137.91;10.19;0.026600000000000002;-0.1036;0.0086;-0.0665;2.14;18985000.0;4147930000.0;0.74;0.1998
SMTO3;28.82;9.37;1.76;1.62;0.0393;0.541;3.03;6.03;-1.53;10.19;4.71;0.2687;0.17300000000000001;0.10679999999999999;0.1882;2.11;71065000.0;5788730000.0;1.68;0.1789
SOJA3;12.85;12.78;2.05;1.014;0.0085;0.898;3.46;12.39;4.82;12.91;12.69;0.0818;0.0793;0.13470000000000001;0.16079999999999997;1.58;2185840.0;732501000.0;0.66;0.7023
SOMA3;8.98;21.02;0.95;1.447;0.0101;0.662;4.37;12.99;67.0;14.59;10.23;0.1114;0.0688;0.0571;0.0453;1.93;74153700.0;7404930000.0;0.16;0.6099
SOND5;36.0;5.4;1.53;0.733;0.1843;0.975;3.11;3.59;4.63;2.38;2.21;0.20420000000000002;0.1358;0.414;0.28309999999999996;2.21;2490.49;57907000.0;0.0;0.2259
SOND6;32.35;4.85;1.37;0.659;0.2051;0.876;2.79;3.23;4.16;2.01;1.87;0.20420000000000002;0.1358;0.414;0.28309999999999996;2.21;473.42;57907000.0;0.0;0.2259
SQIA3;17.06;46.5;1.91;2.705;0.0039000000000000003;0.989;37507.3;20.85;-3.16;22.89;11.4;0.1297;0.057999999999999996;0.0542;0.0412;1.0;8317160.0;783626000.0;0.42;0.4019
STBP3;8.16;16.77;3.29;3.697;0.08070000000000001;1.42;13.59;13.04;-3.96;12.25;8.68;0.28350000000000003;0.22039999999999998;0.1323;0.19640000000000002;1.99;41764100.0;2139970000.0;0.15;0.2003
SUZB3;47.44;2.69;1.9;1.261;0.051699999999999996;0.472;2.78;3.02;-1.0;5.78;4.26;0.4177;0.46950000000000003;0.1893;0.7071999999999999;2.56;268029000.0;33061000000.0;2.26;0.3601
SYNE3;4.1;0.51;0.4;0.271;0.1278;0.149;1.02;0.42;-0.8;0.82;0.79;0.6505;0.5652;0.39990000000000003;0.7934;6.61;1286880.0;1550460000.0;0.67;0.3715
TAEE11;36.14;6.73;1.79;4.409;0.17129999999999998;0.697;4.71;5.6;-1.71;8.71;8.61;0.7868999999999999;0.6548999999999999;0.13720000000000002;0.2661;3.71;81057600.0;6950930000.0;1.22;0.2298
TAEE3;12.08;6.75;1.8;4.421;0.17079999999999998;0.699;4.72;5.62;-1.71;8.73;8.63;0.7868999999999999;0.6548999999999999;0.13720000000000002;0.2661;3.71;2773820.0;6950930000.0;1.22;0.2298
TAEE4;12.09;6.76;1.8;4.424;0.1707;0.7;4.72;5.62;-1.72;8.73;8.63;0.7868999999999999;0.6548999999999999;0.13720000000000002;0.2661;3.71;5649650.0;6950930000.0;1.22;0.2298
TASA3;14.18;2.96;1.66;0.65;0.1075;0.767;3.23;2.12;5.72;2.41;2.32;0.3059;0.2193;0.4559;0.5590999999999999;1.55;567449.0;1083620000.0;0.54;0.4093
TASA4;14.8;3.09;1.73;0.678;0.10300000000000001;0.801;3.37;2.22;5.97;2.5;2.41;0.3059;0.2193;0.4559;0.5590999999999999;1.55;9744800.0;1083620000.0;0.54;0.4093
TCSA3;2.62;-2.62;0.34;1.054;0.0;0.125;0.36;-2.55;-2.29;-8.4;-10.03;-0.413;-0.4047;-0.053899999999999997;-0.1281;3.12;600151.0;575508000.0;1.0;-0.0383
TECN3;2.57;5.28;0.56;0.54;0.0319;0.303;0.61;2.88;1.58;3.39;3.81;0.18780000000000002;0.1023;0.1334;0.1058;4.28;1314370.0;342793000.0;0.36;0.0242
TELB3;14.73;-8.39;0.77;3.7;0.0;0.317;1.05;-4.45;-1.51;-1.09;-7.07;-0.8306;-0.4411;-0.1025;-0.0915;4.98;12980.9;1657470000.0;0.11;0.5899
TELB4;8.0;-4.56;0.42;2.01;0.0;0.172;0.57;-2.42;-0.82;0.94;6.08;-0.8306;-0.4411;-0.1025;-0.0915;4.98;28937.8;1657470000.0;0.11;0.5899
TEND3;4.95;-0.78;0.61;0.225;0.0;0.121;1.1;-1.56;-0.32;-3.98;-4.74;-0.14400000000000002;-0.29100000000000004;-0.0964;-0.7831999999999999;1.34;17829100.0;843680000.0;1.8;0.1185
TFCO4;11.0;18.15;5.53;3.291;0.016399999999999998;3.398;6.75;14.62;10.02;14.92;14.29;0.22510000000000002;0.1814;0.2826;0.3045;3.27;1748070.0;317938000.0;0.28;0.3197
TGMA3;17.62;8.81;1.58;0.919;0.0637;1.123;4.2;7.15;5.86;7.09;6.25;0.1285;0.1043;0.1875;0.1793;2.26;2966040.0;736379000.0;0.17;-0.0176
TIMS3;12.41;17.98;1.18;1.395;0.0466;0.533;-10.91;8.66;-1.46;8.72;2.94;0.1612;0.0776;0.0732;0.0658;0.79;106328000.0;25397400000.0;0.2;0.4548
TKNO4;72.99;4.12;0.81;0.658;0.08960000000000001;0.575;1.67;5.22;1.87;4.27;3.8;0.1261;0.1595;0.1456;0.1971;2.35;526.81;264665000.0;0.01;0.2888
TOTS3;28.03;34.73;4.02;4.561;0.0111;1.63;5.98;12.6;87.01;11.88;10.14;0.36210000000000003;0.138;0.1772;0.11560000000000001;1.87;128032000.0;4308620000.0;0.41;0.1433
TPIS3;0.83;-53.49;0.16;0.128;0.0225;0.048;-0.44;0.73;-0.08;8.88;4.04;0.17579999999999998;-0.0045000000000000005;0.0696;-0.0029;0.34;581405.0;926523000.0;1.85;-0.0166
TRAD3;1.42;-13.01;0.7;4.177;0.0001;0.654;1.94;-4.8;1.95;-2.29;-2.85;-0.8698;-0.319;-0.2097;-0.0535;6.95;2327450.0;571473000.0;0.01;0.0
TRIS3;3.42;11.1;0.51;0.878;0.0642;0.277;0.6;6.47;1.46;11.06;10.9;0.13570000000000002;0.08259999999999999;0.048799999999999996;0.046;3.93;2735330.0;1250420000.0;0.54;0.08539999999999999
TRPL3;29.85;8.69;1.22;3.608;0.0356;0.61;5.82;6.58;-1.78;8.85;8.77;0.5484;0.42560000000000003;0.0968;0.1398;3.61;56466.1;16177500000.0;0.5;0.1724
TRPL4;21.86;6.37;0.89;2.643;0.048600000000000004;0.447;4.27;4.82;-1.31;7.09;7.03;0.5484;0.42560000000000003;0.0968;0.1398;3.61;42661400.0;16177500000.0;0.5;0.1724
TTEN3;13.07;11.37;2.31;0.943;0.0012;1.068;4.28;12.67;6.54;13.09;12.19;0.0745;0.08289999999999999;0.1585;0.2029;1.55;13944800.0;2816980000.0;0.39;0.4874
TUPY3;26.51;7.43;1.23;0.396;0.017;0.426;1.01;4.29;18.04;6.03;4.27;0.09230000000000001;0.0526;0.1553;0.1655;2.66;15129400.0;3107290000.0;1.13;0.1827
UCAS3;2.5;4.39;0.84;0.655;0.0726;0.547;4.58;7.44;7.59;6.38;4.41;0.08800000000000001;0.1492;0.087;0.19190000000000002;1.39;128038.0;196055000.0;0.06;0.1475
UGPA3;13.77;8.53;1.31;0.107;0.037200000000000004;0.421;2.65;4.17;-2.69;6.11;4.78;0.0256;0.0128;0.1606;0.15380000000000002;1.45;91746200.0;11708700000.0;1.13;0.1191
UNIP3;75.6;4.22;2.79;1.0;0.1648;1.217;4.95;2.69;-15.28;2.63;2.42;0.3712;0.2386;0.6493000000000001;0.6605;2.06;1883430.0;2818630000.0;0.51;0.2546
UNIP5;87.02;4.86;3.21;1.151;0.1575;1.4;5.7;3.1;-17.59;3.04;2.8;0.3712;0.2386;0.6493000000000001;0.6605;2.06;22505.6;2818630000.0;0.51;0.2546
UNIP6;80.54;4.49;2.97;1.065;0.1702;1.296;5.28;2.87;-16.28;2.8;2.59;0.3712;0.2386;0.6493000000000001;0.6605;2.06;16696500.0;2818630000.0;0.51;0.2546
USIM3;7.59;5.89;0.41;0.293;0.0754;0.238;0.64;2.13;1.52;2.38;1.98;0.1374;0.0645;0.139;0.0698;3.78;3688880.0;23155000000.0;0.27;0.28850000000000003
USIM5;7.29;5.65;0.39;0.281;0.0863;0.228;0.61;2.05;1.46;2.3;1.91;0.1374;0.0645;0.139;0.0698;3.78;109130000.0;23155000000.0;0.27;0.28850000000000003
USIM6;13.02;10.1;0.7;0.502;0.0483;0.408;1.09;3.66;2.61;3.91;3.25;0.1374;0.0645;0.139;0.0698;3.78;277.17;23155000000.0;0.27;0.28850000000000003
VALE3;86.11;4.07;2.09;1.726;0.0472;0.862;45.82;3.92;-2.2;4.34;3.72;0.44;0.4253;0.24600000000000002;0.5127;1.12;1952500000.0;187112000000.0;0.35;0.188
VAMO3;14.5;22.24;4.09;3.026;0.018000000000000002;0.892;-109.57;9.21;-1.68;12.77;10.65;0.3287;0.1361;0.1341;0.1837;0.97;43524800.0;3638890000.0;2.06;5.0325
VBBR3;15.18;8.86;1.4;0.101;0.0564;0.447;1.59;3.68;-2.74;6.39;5.73;0.0273;0.011399999999999999;0.1456;0.158;2.19;152516000.0;12636000000.0;1.28;0.1496
VIIA3;1.95;-20.78;0.57;0.103;0.0;0.092;-0.88;1.46;-0.23;5.25;3.46;0.0707;-0.005;0.083;-0.027200000000000002;0.81;181064000.0;5505000000.0;1.69;0.0475
VITT3;11.92;11.98;2.57;1.911;0.030600000000000002;1.77;5.11;9.76;4.82;10.82;10.03;0.19579999999999997;0.158;0.2054;0.2145;2.06;2705150.0;663557000.0;0.4;0.2633
VIVA3;22.38;16.01;3.34;2.835;0.0024;1.973;5.45;15.48;13.08;15.56;11.92;0.18309999999999998;0.1771;0.1496;0.2084;2.83;26375000.0;1584370000.0;0.15;0.3699
VIVT3;39.04;15.9;0.95;1.352;0.07780000000000001;0.545;-13.29;10.77;-1.95;13.59;4.39;0.12560000000000002;0.08449999999999999;0.055099999999999996;0.059699999999999996;0.78;106053000.0;68403700000.0;0.28;0.0197
VLID3;8.73;29.19;0.58;0.38;0.0301;0.268;1.17;1.89;-9.05;3.17;2.41;0.201;0.008199999999999999;0.18059999999999998;0.019799999999999998;1.87;2300390.0;1235370000.0;0.7;0.0254
VULC3;11.3;5.91;1.62;1.095;0.0327;1.102;2.71;6.9;3.54;7.44;6.18;0.15869999999999998;0.1852;0.1815;0.2746;2.8;3462200.0;1711490000.0;0.24;0.1894
VVEO3;17.99;18.5;2.25;0.665;0.0241;0.623;2.11;10.41;-4.28;13.5;10.41;0.0639;0.0359;0.0888;0.1213;2.05;2711360.0;2292800000.0;1.3;0.0
WEGE3;40.16;40.06;11.36;5.637;0.0134;5.991;17.95;29.79;24.91;29.52;26.84;0.1892;0.1429;0.26789999999999997;0.2837;1.91;273184000.0;14834800000.0;0.23;0.2712
WEST3;1.01;-2.4;0.32;0.406;0.0;0.262;0.47;-1.46;0.55;0.25;0.32;-0.2771;-0.16899999999999998;-0.3039;-0.1322;6.77;220374.0;351390000.0;0.08;-0.0949
WHRL3;4.43;12.3;2.72;0.609;0.042199999999999994;0.822;12.89;8.63;-465.26;8.01;6.59;0.0706;0.049699999999999994;0.2138;0.2216;1.1;11718.1;2443420000.0;0.33;0.1447
WHRL4;4.51;12.52;2.77;0.62;0.045599999999999995;0.837;13.12;8.78;-473.66;8.17;6.71;0.0706;0.049699999999999994;0.2138;0.2216;1.1;33242.3;2443420000.0;0.33;0.1447
WIZC3;7.05;7.22;2.59;1.286;0.0834;0.566;-11.78;2.91;-1.71;2.99;2.6;0.4416;0.2493;0.2274;0.3593;0.79;5100320.0;434444000.0;0.62;0.1241
WLMM3;22.0;7.06;1.32;0.45;0.0492;1.085;2.58;6.89;3.16;6.25;6.04;0.0653;0.0636;0.1832;0.1875;5.14;107.32;605078000.0;0.02;0.282
WLMM4;23.46;7.53;1.41;0.479;0.0507;1.157;2.75;7.35;3.37;6.71;6.48;0.0653;0.0636;0.1832;0.1875;5.14;26023.5;605078000.0;0.02;0.282
YDUQ3;7.56;-49.33;0.77;0.518;0.0167;0.235;1.58;4.29;-0.58;11.89;5.2;0.1207;-0.0101;0.0669;-0.015700000000000002;2.07;46159900.0;3024090000.0;1.89;0.066
ZAMP3;5.08;-25.07;0.94;0.384;0.0;0.339;21.55;14.46;-0.85;19.57;3.77;0.0265;-0.015300000000000001;0.0298;-0.037599999999999995;1.07;5514760.0;1485190000.0;0.68;0.0874
